id,title,about,rating,descriptor,platform,release_year,publisher
1626,Swara Ride,"Swara Games adalah studio pengembang game digital yang fokus menciptakan pengalaman bermain interaktif dan inovatif,yang dikembangkan oleh Swara Games.",13+,Online Interactions,"PC , Android, iOS",2023,Swara Games
1627,Newbie Hacker,"Live as a rookie hacker. Monitor digital lives, uncover secrets, and shape your story.",RC,"Character Appearance, Violence, Drugs, Blood, Language",PC ,2024,Capiena
1630,Rick Roll,Never Gonna Give You Up!,3+,,Web Based,2025,Montelli Studio
1631,FUREA UERZT,"FUREA UERZT: Mars Code is a high-stakes sci-fi racing adventure where every second decides the fate of Earth and Mars. Master futuristic vehicles, race through gravity-bending tracks, and prove that only speed and courage can rewrite destiny.",3+,,PC ,2024,CV. Putra Media Asia
1654,Thalorune,"Thalorune adalah permainan action role-playing open-world yang dikembangkan dan diterbitkan oleh Natrium Games. Game ini berlatar di dunia fantasi bernama Nivarae, tempat berbagai “Aspect” (manifestasi kekuatan kuno) mengatur keseimbangan alam semesta. Kamu akan berperan sebagai Arcanist, seorang pengembara lintas dunia yang terbangun di Nivarae dan memulai perjalanan untuk mencari kebenaran dunia Nivarae yang mengungkap misteri kuno yang melanda dunia tersebut.",18+,"Online Interactions, Character Appearance, Violence, Drugs, Language","Android, PC , iOS",2025,Natrium Games
1655,HJK Simulation,Simulation of HJK,3+,,"Android, iOS",2025,HJK Games
1656,Sell & Buy,Simulating of Sell & Buy in real world.,3+,,"iOS, Android",2025,HJK Games
1657,Amazing Basketball Association 4k,Permainan merupakan simulasi pemain menjadi seorang pemain basket seperti jerry west,RC,"Online Interactions, Violence, Gambling, Blood, Language",PC ,2019,HJK Games
1658,Kerajinan Tambang,"Kerajinan Tambang adalah game yang terdiri dari balok, makhluk, dan komunitas. Anda bisa bertahan hidup di malam hari atau membangun sebuah karya seni – pilihan ada di tangan Anda.",13+,"Online Interactions, Violence",Web Based,2009,Montelli Studio
1659,ABCtest,sdf,3+,,PC ,2020,ABCtest
1662,fff,rvvr,18+,Gambling,PlayStation 5,2024,user
1664,Paw Rumble,Paw Rumble is a 4 people online multiplayer game that lets the player enjoy a short and fun game time with others. Come with a simple mission to bring an enjoyable game without taking too much time.,3+,,Android,2023,Nuon Games
1665,OK Game,Battle Royale game,RC,"Horror, Online Interactions, Character Appearance, Violence, Language","iOS, Android",2020,Proxima Alpha
1666,OK Game,Battle Royale game,RC,"Horror, Online Interactions, Character Appearance, Violence, Language","Android, iOS",2020,Proxima Alpha
1667,Test Game,Test game for the purposes of testing IGRS,18+,Online Interactions,PlayStation 5,2025,Riot Games
1668,Cursed Mansion,"Cursed Mansion starts out in a deep forest. A mysterious storm drives Rose to seek shelter in a huge mansion which at first glance seems to be empty. As she enters, the door slams shut and traps her inside. She is forced to look for another way out only to discover something truly sinister has happened in the mansion... and it's still very much alive, lurking in the shadows of the Cursed Mansion.",18+,"Horror, Violence",PC ,2023,Nuon Games
1669,DreadHaunt,"Set on a forsaken island off Jakarta’s northern coast, a place steeped in arcane energy and unsolved mysteries, you will face anomalous entities, cursed objects, and strange phenomena that modern science cannot explain. Using specially designed tools infused with ancient amulets, you’ll confront these exotic creatures and spiritual threats.",18+,"Horror, Violence, Blood","PC , XBOX, XBOX 360",2024,Nuon Games
1670,Halu - The Fracture,"An atmospheric, slow-burn psychological horror from a first-person view. Uncover a night that gradually fractures into blurred lines between reality and illusion — and face what should’ve stayed hidden.",18+,"Horror, Drugs",P C,2025,Hwaye Studio
1671,TypeCaster,"A once-shameless thief, cursed with a slow, agonizing death, must now embark on a perilous journey to the top of the legendary Tower of Trials. This 2.5D action RPG challenges you to master lightning-fast reflexes and precise typing to battle hordes of fearsome monsters guarding each floor. Harness powerful spells, uncover treasures, and push yourself to the limits in your battle against the unknowns. Will you rise to the challenge and break the curse, or will you become another victim?",13+,Violence,PC ,2025,TBA Studio
1672,Neko Michi,"Build and manage a cozy Meiji-era street for cats. customize buildings, balance tradition and modernity, and create a peaceful cat community",,,P C,2025,Eternal Dream Studio
1673,Neko Michi,"Build and manage a cozy Meiji-era street for cats. customize buildings, balance tradition and modernity, and create a peaceful cat community",3+,,P C,2025,Eternal Dream Studio
1674,Smith's Chronicles,"Forge your legacy as a blacksmith, transforming a humble village into a sanctuary where humans and fantastical races find home and harmony.",13+,Violence,P C,2025,Arsanesia
1675,RAD: Repeat After Death,"Repeat After Death is an action arcade platforming game where your actions become your own enemy. Make your way through the various dungeons and kill the monster with your attacks. Repeat this over and over again until you clear the dungeon. Simple enough, right? But beware, as your actions from every character before will haunt you and be repeated back in your next. Dodge your way through the many ghosts of your own movement to kill the guardian and get out of this looping purgatory.",13+,Violence,PC ,2025,Exploding Soes
1676,Zozo and the Lost Dreams,Zozo and The Lost Dreams is a 2D Metroidvania platformer inspired by classic Saturday-morning cartoons.,18+,"Character Appearance, Violence",P C,2025,Red Dunes Games
1677,Asbak,Asbak is a fast-paced hack-and-slash platformer where you chase down and slay demons born from humanity’s darkest fears.,18+,"Horror, Violence, Drugs",P C,2025,Team Fossil
1678,Montabi,"A Creature-Collector Roguelike Deckbuilder where you build your deck by taming and assembling a team of Montabi. Engage in thrilling turn-based battles, strategically utilizing their unique abilities. Assemble a synergistic team and you just might save the city from evil!",13+,Violence,"Nintendo Switch, PlayStation 5, Nintendo Switch 2, PC , XBOX",2025,Mankibo
1679,Teller's Duty,"In 1980, you land a teller job at Kertasia Bank thanks to your distant uncle. But the bank follows bizarre rules set by a foolish government. Face strict policies, tough customers, and moral choices while saving for your mom’s medical bills. Your fate is in your hands.",18+,"Violence, Gambling, Drugs, Blood, Language",P C,2025,Hiscory
1680,Tu-Ru! A Rhythm Deckbuilding Game ,Tu-Ru! is a mix of rhythm and deckbuilding game where you act to card's beat.,15+,"Violence, Language",PC ,2025,Candra Irawan
1681,We Are Hiring : HR Simulator,"An HR management simulator about navigating workplace dynamics, hiring and training a diverse workforce, and balancing professional growth with personal life in a bustling cityscape",3+,,PC ,2025,Sangnila x Funix
1682,JIWA : The Damned Soul,"A first-person adventure set in an abandoned Indonesian hospital, where two content creators are in dire need of going viral. Explore alternatively as Sekar and Laras to discover and reveal all of the secrets you saw to the world.",18+,"Horror, Violence, Blood, Language",PC ,2025,DoePlay Interactive
1683,Luxman Moonlit Market,"A strategic tile-placement roguelike with Balatro-inspired power-up management. Join the flamboyant Uncle Luxman to build the ultimate traveling carnival, master attraction placement, unleash wild charm synergies, and satisfy dynamic crowd demands.",18+,Drugs,PC ,2025,Inner Sight Games
1684,Acts of Blood,"Acts of Blood is a Beat ‘em up, Action, 3rd person game which focuses on fast-paced, brutal hand-to-hand combat. Set in dystopian city of Bandapa, Indonesia.",18+,"Violence, Drugs, Blood, Language",PC ,2025,Eksil Team
1685,Troublemaker 2: Beyond Dream,"Troublemaker 2 adalah game open-world aksi-komedi beat-’em-up game bersetting di kota fiksi Jayakarta Selatan, kota yang gokil di Indonesia. Bermain sebagai Jordan dan Budi bersama dengan band Beyond Dream dan gang Parakacuk. bersama mereka melalui semua rintangan yang menghadang mimpi mereka",18+,"Horror, Character Appearance, Violence, Drugs, Blood, Language",PC ,2025,Gamecom Team
1686,1998: The Toll Keeper Story,Sebuah game simulasi naratif di mana kamu berperan sebagai seorang calon ibu yang bekerja sebagai penjaga gerbang tol di negara fiktif Janapa yang sedang kacau balau. Hadapi tantangan dan ambil keputusan terbaik demi bertahan hidup… demi bayi di kandunganmu!,13+,"Violence, Blood, Language","Android, PC ",2025,GameChanger Studio
1687,My Test Game,A game for testing,13+,Online Interactions,"XBOX, PlayStation 5",2025,Test Publisher
1688,War Angels,"War Angels puts you in charge of a hospital in the middle of a war. With scarce food, limited medicine, and waves of critically injured patients, every decision becomes a moral struggle. Who will you save when you can’t save them all?",13+,"Violence, Blood",PC ,2025,Leolit Games
1689,1998: The Toll Keeper Story,"A narrative simulation game where you play as a mother-to-be working as a toll keeper in the fictional country of Janapa, a nation on the brink of chaos. Navigate daily challenges and make difficult moral choices to survive—all for the sake of your unborn child.",13+,"Violence, Blood, Language","PC , Android",2025,GameChanger Studio
1690,Feed The Maw,"In Feed the Maw, you and your crew will explore a perilous island, frantically loot for vital resources, appease the monstrous Maw with offerings before it consumes you, and work together to survive brutal monsters and natural disasters. Are you ready to dive into the fun, chaotic co-op challenge where only teamwork—and loot—guarantees survival?",15+,"Violence, Language",P C,2025,Akhir Pekan Studio
